Institution,Rating,NDUB 2026 Point,BUET 2026 Point,ICPC 2025 Point,CUET 2025 Point,MU 2025 Point,UU 2025 Point,DUET 2025 Point,AUST 2025 Point,UIU 2025 Point,KUET 2025 Point,ICPC 2024 Point,BUET 2024 Point,IUT 2024 Point,NCPC 2024 Point,SUST 2024 Point,CUET 2024 Point
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,749,,585,694,859,950,716,981,538,703,401,724,882,353,145,759,325
NETROKONA UNIVERSITY,744,1235,634,223,451,972,1020,541,386,350,133,767,,240,28,235,584
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,695,,299,776,,,,598,1380,214,360,195,900,256,926,230,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,662,730,690,536,653,,1063,777,481,,,799,706,300,400,633,
EAST DELTA UNIVERSITY,632,,716,377,912,,1106,703,,502,,600,613,,258,608,760
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,624,625,598,603,408,353,776,1441,1044,1244,876,435,590,836,312,1211,445
NATIONAL UNIVERSITY,572,,,,,,,,,,,,,,,572,
UNITED INTERNATIONAL UNIVERSITY,519,634,293,156,654,934,299,675,288,561,910,124,417,748,102,874,841
UNIVERSITY OF ASIA PACIFIC,511,858,271,74,691,550,507,271,399,519,108,285,628,313,285,727,249
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,481,381,422,490,,763,188,519,,152,68,0,,185,,,
JAGANNATH UNIVERSITY,473,324,688,413,,,761,469,455,602,366,178,1036,1264,173,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,460,597,282,143,,520,1327,,149,334,668,101,,193,58,,
DHAKA CITY COLLEGE,458,760,,53,,,,635,,,91,319,167,,825,406,196
CITY UNIVERSITY,418,776,166,49,294,530,,107,,,84,34,,,,,
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,414,716,255,85,,482,271,586,442,,,28,384,339,61,,200
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,413,687,,140,,,,,,,102,9,267,,,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,412,,,341,602,,,,,,,282,,,264,,561
EASTERN UNIVERSITY OF BANGLADESH,406,,518,384,,,,,,,,0,,,,,
PREMIER UNIVERSITY,405,,647,18,662,,,620,321,,0,194,,,190,,550
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",401,684,382,65,,,,,,400,,11,,,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,365,673,177,131,312,,417,255,168,237,134,50,164,217,269,910,414
DHAKA INTERNATIONAL UNIVERSITY,364,701,163,22,288,326,180,325,285,795,113,0,,181,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),355,,609,55,449,,,689,,,410,72,720,,643,,
KISHOREGANJ UNIVERSITY,344,366,398,38,688,,,319,162,347,144,26,400,277,78,497,244
PRIME UNIVERSITY,343,561,265,126,,,306,353,707,158,77,11,,399,,,230
SONARGAON UNIVERSITY,331,,,362,,,156,306,,,,69,,,57,,
SOUTHEAST UNIVERSITY,300,389,260,14,331,,177,240,242,,,377,1807,306,503,136,
UTTARA UNIVERSITY,283,352,551,6,300,,242,100,165,223,111,41,,245,,,
VARENDRA UNIVERSITY,280,,390,237,,,,313,370,,,129,,,81,422,
NORTH EAST UNIVERSITY BANGLADESH,271,359,,10,,459,,277,,480,0,67,289,261,71,250,518
PRESIDENCY UNIVERSITY,264,331,173,,,,160,300,,,,0,,,,,
