Institution,Score Rank In NSU 2026,Score Rank In NDUB 2026,Score Rank In BUET 2026,Score Rank In ICPC 2025,Score Rank In CUET 2025,Score Rank In MU 2025,Score Rank In UU 2025,Score Rank In DUET 2025,Score Rank In AUST 2025,Score Rank In UIU 2025,Score Rank In KUET 2025,Score Rank In ICPC 2024,Score Rank In BUET 2024,Score Rank In IUT 2024,Score Rank In NCPC 2024,Score Rank In SUST 2024,Score Rank In CUET 2024
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,,,,102,,,56,,,,,,,,,,
PORT CITY INTERNATIONAL UNIVERSITY,,,,49,49,39,,68,47,40,57,32,,,59,,31
PRIMEASIA UNIVERSITY,,,,,,,,,,,,94,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,79,,,,94,,64,,,
R. P. SHAHA UNIVERSITY,,,,85,,,,79,,43,33,44,,,53,,47
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",,,,,,,,,,,,,,,,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,,,,38,34,,,,,,,39,,,39,,29
RANGPUR ENGINEERING COLLEGE,,,,77,,,,72,,,46,83,,,,,
RANGPUR POLYTECHNIC INSTITUTE,,,,69,,,,,,,,84,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,,,,,,,,,,,,93,,64,,,
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,,,,102,,,54,62,46,41,61,94,,43,63,50,40
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,,,,,,,,,,,,94,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,
SONARGAON UNIVERSITY,,,,36,,,51,54,,,,55,,,57,,
SOUTHEAST UNIVERSITY,,46,51,76,40,,47,63,45,,,35,13,40,30,51,
SOUTHERN UNIVERSITY BANGLADESH,,,,99,,,,,,,,92,,,,,
STAMFORD UNIVERSITY BANGLADESH,,,,102,,,,,,,,,,,,,
STATE UNIVERSITY OF BANGLADESH,,,,95,,,,,,,,89,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,,,,,,,,,,,64,,,,,,
SYLHET INTERNATIONAL UNIVERSITY,,,,90,51,39,,73,,58,,80,,46,51,33,
TEESTA UNIVERSITY,,,,87,,,,,,,,94,,,,,
TEJGAON COLLEGE,,,,78,,,,58,,,,71,,,54,,
THAKURGAON POLYTECHNIC INSTITUTE,,,,96,,,,,,,,,,,,,
TMSS ENGINEERING COLLEGE,,,,102,,,,,,,,94,,63,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,,,,,,,,79,,,,,,,,,
UNIVERSITY OF ASIA PACIFIC,,28,49,57,29,30,36,60,35,31,51,38,33,39,37,27,41
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",,,,102,,,,,,,,57,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,,
UNIVERSITY OF GLOBAL VILLAGE,,,,80,,,,76,,,,74,,60,,,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,,,,,,,,,,,,,,,,,
VARENDRA UNIVERSITY,,,43,40,,,,53,37,,,47,,,49,39,
WORLD UNIVERSITY OF BANGLADESH,,,,59,,,,,,,,94,,,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,89,,,,,,,,94,,,,,
